MTU,DE_50HzT -> PL,PL -> DE_50HzT,DE_50HzT -> CZ,CZ -> DE_50HzT,DE_50HzT -> DK,DK -> DE_50HzT
00:00 - 01:00,1720.86,0.00,1271.27,0.00,980.39,0.00
01:00 - 02:00,1727.87,0.00,1220.38,0.00,1000.90,0.00
02:00 - 03:00,1607.81,0.00,1055.57,0.00,1001.31,0.00
03:00 - 04:00,1469.14,0.00,872.14,0.00,1001.65,0.00
04:00 - 05:00,1458.66,0.00,700.36,0.00,1001.55,0.00
05:00 - 06:00,1498.34,0.00,781.19,0.00,1001.53,0.00
06:00 - 07:00,1603.94,0.00,708.96,0.00,1001.59,0.00
07:00 - 08:00,1785.94,0.00,733.58,0.00,1001.47,0.00
08:00 - 09:00,1682.68,0.00,637.32,0.00,1001.59,0.00
09:00 - 10:00,1223.19,0.00,369.60,0.00,1001.43,0.00
10:00 - 11:00,1232.67,0.00,479.89,0.00,1001.52,0.00
11:00 - 12:00,1394.31,0.00,347.56,0.00,999.59,0.00
12:00 - 13:00,1185.67,0.00,293.34,0.00,1001.48,0.00
13:00 - 14:00,1470.43,0.00,389.81,0.00,1001.40,0.00
14:00 - 15:00,1836.48,0.00,824.27,0.00,997.09,0.00
15:00 - 16:00,1428.80,0.00,844.32,0.00,990.11,0.00
16:00 - 17:00,1504.60,0.00,859.79,0.00,992.48,0.00
17:00 - 18:00,1657.53,0.00,978.12,0.00,983.73,0.00
18:00 - 19:00,1629.62,0.00,958.49,0.00,971.66,0.00
19:00 - 20:00,1736.30,0.00,920.46,0.00,989.73,0.00
20:00 - 21:00,1641.89,0.00,842.46,0.00,996.82,0.00
21:00 - 22:00,1661.15,0.00,744.05,0.00,984.87,0.00
22:00 - 23:00,1365.09,0.00,781.29,0.00,997.54,0.00
23:00 - 00:00,804.37,0.00,520.92,0.00,1001.72,0.00
00:00 - 01:00,964.49,0.00,684.96,0.00,1001.61,0.00
01:00 - 02:00,1003.69,0.00,802.69,0.00,1001.62,0.00
02:00 - 03:00,953.76,0.00,587.79,0.00,999.53,0.00
